block,date,b0,b1,lam0,val_sharpe
0,2005-01-04,5.521460917862246,-1.0,249.9999999999999,0.3032032794854857
1,2005-07-08,5.0106352940962555,0.0,149.99999999999997,0.4151612239920748
2,2006-01-16,5.991464547107982,0.5,399.9999999999999,1.10875002550667
3,2006-07-18,5.991464547107982,1.0,399.9999999999999,0.7001451954791876
4,2007-01-22,5.991464547107982,1.0,399.9999999999999,0.818064764607757
5,2007-07-25,5.0106352940962555,1.0,149.99999999999997,0.9174325705991824
6,2008-01-31,5.991464547107982,-1.0,399.9999999999999,0.7437014530874785
7,2008-08-04,5.0106352940962555,0.0,149.99999999999997,0.7737941224192538
8,2009-02-10,5.0106352940962555,-0.5,149.99999999999997,0.6802724188876588
9,2009-08-14,5.991464547107982,-1.0,399.9999999999999,0.6060160147500965
10,2010-02-24,6.396929655216146,1.0,600.0,0.6656212277862557
11,2010-08-30,2.995732273553991,0.25,19.999999999999996,0.5454642737839673
12,2011-03-09,5.521460917862246,0.25,249.9999999999999,0.03533297062153737
13,2011-09-09,4.31748811353631,-0.5,74.99999999999997,-0.06639197955551776
14,2012-03-16,3.912023005428146,0.0,49.99999999999999,-0.012016923148153518
15,2012-09-18,6.907755278982137,0.0,999.9999999999998,-0.30982638348870745
16,2013-03-27,5.991464547107982,0.25,399.9999999999999,0.8117598688237609
17,2013-09-27,6.907755278982137,1.0,999.9999999999998,0.6628633070619571
18,2014-04-07,6.907755278982137,0.0,999.9999999999998,0.6961191241845444
19,2014-10-08,6.396929655216146,-1.0,600.0,0.5095923421241376
20,2015-04-15,6.907755278982137,0.0,999.9999999999998,0.7360478883340197
21,2015-10-21,6.907755278982137,0.0,999.9999999999998,0.7734334142022228
22,2016-04-26,6.907755278982137,0.0,999.9999999999998,0.5599844346399196
23,2016-11-01,3.912023005428146,0.5,49.99999999999999,0.7641705301409973
24,2017-05-10,3.912023005428146,0.25,49.99999999999999,0.8467544657845231
25,2017-11-09,4.31748811353631,-0.25,74.99999999999997,1.1458454825116384
26,2018-05-18,4.605170185988092,-0.5,100.00000000000004,0.7662298930076992
27,2018-11-15,4.31748811353631,-0.5,74.99999999999997,0.679576343191343
28,2019-05-31,3.5553480614894135,-0.5,34.99999999999999,0.5313023567166687
29,2019-12-04,6.907755278982137,0.0,999.9999999999998,0.5154310124719044
30,2020-06-15,6.907755278982137,0.0,999.9999999999998,0.21336701443895992
31,2020-12-18,2.995732273553991,0.5,19.999999999999996,0.46921075795089257
32,2021-06-25,6.907755278982137,0.0,999.9999999999998,0.6273647626408811
33,2021-12-29,6.907755278982137,0.0,999.9999999999998,0.6562215406433237
34,2022-07-07,6.907755278982137,0.0,999.9999999999998,0.3746138210055268
35,2023-01-13,6.907755278982137,0.0,999.9999999999998,0.25325009837245066
36,2023-07-18,6.907755278982137,0.0,999.9999999999998,0.4467518142738933
37,2024-01-23,6.907755278982137,0.0,999.9999999999998,0.629556092345319
38,2024-07-26,5.991464547107982,0.5,399.9999999999999,0.8489093145430266
