block,date,lam_bar,ratio,lam_out,lam_in,delta,d_bull,d_bear,val_sharpe
0,2005-01-03,50.0,0.8017083587553389,55.84210726399397,44.769084164056196,0.2210103796992735,547.3333333333334,439.0,-0.026470941421932757
1,2005-07-05,10.0,0.8801473490330222,10.659143460541591,9.381616859758354,0.12766594344376614,116.16666666666667,102.36363636363636,0.12246722777690795
2,2006-01-03,250.0,1.0,250.0,250.0,0.0,853.5,813.0,0.27594491901539137
3,2006-07-05,100.0,0.8003048780487799,111.78210096092354,89.45976067756833,0.22276252635246596,547.6666666666666,438.5,0.5342503730649889
4,2007-01-04,100.0,0.8003048780487799,111.78210096092354,89.45976067756833,0.22276252635246596,547.6666666666666,438.5,0.7574262724794624
5,2007-07-06,75.0,0.7989031078610602,83.91009408980653,67.03603494926041,0.2245156073263912,548.0,438.0,0.8960516268764335
6,2008-01-04,75.0,0.6452879581151836,93.36508201438987,60.24736313232229,0.43805861512382993,510.3333333333333,329.6666666666667,0.7721745710187936
7,2008-07-07,100.0,0.5483091787439616,135.04771550291053,74.04790197864904,0.6009159563439113,691.0,379.3333333333333,0.7036400047843198
8,2009-01-05,100.0,0.5883838383838381,130.36758858898344,76.70618217483113,0.5303757576887804,793.0,467.0,0.6163134923086615
9,2009-07-07,50.0,0.7256515775034292,58.69565217391305,42.59259259259259,0.3206853001503589,730.0,530.0,0.5548434477200154
10,2010-01-05,50.0,1.0133244503664223,49.670181096950046,50.33200895966756,-0.013236460625830837,501.3333333333333,508.0,0.6376190385579975
11,2010-07-07,100.0,0.5762293056585129,131.73534985482144,75.90976917752504,0.5512495974054819,675.5,389.6666666666667,0.5067483702513496
12,2011-01-04,10.0,0.9778830963665083,10.112453334350596,9.888797178456581,0.022365149459580458,159.25,155.75,0.5803857472871586
13,2011-07-06,75.0,0.4826163818503241,107.95934318168011,52.102947593279914,0.7285331813811569,849.5,410.5,0.5962555305936126
14,2012-01-04,10.0,0.7490109890109895,11.554626331965972,8.654542096558254,0.2890016239957891,152.66666666666666,114.6,0.3096199058229797
15,2012-07-05,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.05176161704973948
16,2013-01-07,400.0,1.0,400.0,400.0,0.0,1073.5,373.0,0.4112245722526216
17,2013-07-09,50.0,0.4237021499737808,76.81387431401122,32.54620369466233,0.8587245470793237,477.75,203.0,0.5181176823905627
18,2014-01-07,600.0,1.0,600.0,600.0,0.0,1073.5,373.0,0.8944383619218161
19,2014-07-09,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,1.062822090998397
20,2015-01-07,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7864525786959187
21,2015-07-09,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.9339753206596284
22,2016-01-07,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.6505347850683026
23,2016-07-08,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.6348258434102032
24,2017-01-06,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.9541842223282665
25,2017-07-10,1000.0,1.0,1000.0,1000.0,0.0,2043.0,477.0,1.0058182100375064
26,2018-01-08,1000.0,1.0,1000.0,1000.0,0.0,2186.0,334.0,1.1257824134925742
27,2018-07-10,1000.0,1.0,1000.0,1000.0,0.0,2314.0,206.0,0.9036393515114371
28,2019-01-09,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5705144496986267
29,2019-07-11,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.6946733856269196
30,2020-01-09,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.7473991454933074
31,2020-07-10,1000.0,1.0,1000.0,1000.0,0.0,2520.0,,0.5274726397059449
32,2021-01-08,10.0,0.5601313320825513,13.361495407991054,7.48419222149292,0.5795840011728437,118.14285714285714,66.61538461538461,0.9915301222486106
33,2021-07-12,20.0,0.4334862385321102,30.376822130554118,13.167934363932867,0.8358952282893917,175.4,76.6,1.111428331981681
34,2022-01-07,20.0,0.3749257278669042,32.66309800790261,12.246235795000915,0.9810273316495932,188.0,71.11111111111111,1.0809873539474149
35,2022-07-12,20.0,0.23630981746423305,41.142351787995544,9.72234164107049,1.442611549041084,290.57142857142856,69.42857142857143,0.8701209128161951
36,2023-01-10,35.0,0.332979288369623,60.65399818653968,20.196525152926387,1.0996749880242316,377.6,126.4,0.4593201591254934
37,2023-07-13,10.0,0.6255370338546142,12.64367973980033,7.909089921442379,0.4691447440258836,133.25,83.72727272727273,0.6573346526099944
38,2024-01-11,20.0,0.5138888888888886,27.899433298516634,14.337208778404374,0.6657482063718314,217.0,112.0,0.6856522102578104
39,2024-07-15,20.0,0.5878193430656935,26.086034188168167,15.333875479678234,0.5313356179754862,183.66666666666666,108.375,0.7786202777820097
