symbol,path_a,path_b,agreement,disagreement
IBM,HMM,Fixed JM,0.9141960419357289,0.0858039580642711
IBM,HMM,Adaptive JM,0.913728823216592,0.08627117678340801
IBM,Fixed JM,Adaptive JM,0.9979753855504064,0.0020246144495935647
OIH,HMM,Fixed JM,0.8461415230015839,0.15385847699841615
OIH,HMM,Adaptive JM,0.8443064936010631,0.15569350639893687
OIH,Fixed JM,Adaptive JM,0.9946187034643462,0.005381296535653779
IVE,HMM,Fixed JM,0.7610477449268266,0.23895225507317341
IVE,HMM,Adaptive JM,0.7538078687985249,0.2461921312014751
IVE,Fixed JM,Adaptive JM,0.9809735672792029,0.01902643272079707
WDC,HMM,Fixed JM,0.8642462757396938,0.13575372426030619
WDC,HMM,Adaptive JM,0.8642660834399373,0.13573391656006273
WDC,Fixed JM,Adaptive JM,0.9929583625634465,0.007041637436553505
