n_obs,n_switches,average_duration,min_duration,max_duration,fraction_state_0,fraction_state_1,symbol,model
1053040,49232,21.38890581520525,1,3323,0.8586748841449517,0.14132511585504823,IBM,HMM
1053040,20013,52.615169381433,1,7746,0.936762136291119,0.06323786370888096,IBM,Fixed JM
1053040,21435,49.12483672326927,1,7746,0.937694674466307,0.062305325533692925,IBM,Adaptive JM
823965,56044,14.701846730306004,1,1821,0.7198060597234106,0.2801939402765894,OIH,HMM
823965,34188,24.10029541665448,1,3311,0.8608678766695187,0.13913212333048128,OIH,Fixed JM
823965,37624,21.899401993355482,1,3311,0.8635257565551935,0.13647424344480652,OIH,Adaptive JM
522799,19844,26.344116906021668,1,5119,0.9660825671051398,0.03391743289486017,IVE,HMM
522799,39987,13.073897169150746,1,1095,0.7446743394688973,0.2553256605311028,IVE,Fixed JM
522799,45251,11.553058428356758,1,1065,0.7367994200447974,0.2632005799552027,IVE,Adaptive JM
605825,45424,13.336818932305999,1,1202,0.6038806586060331,0.39611934139396693,WDC,HMM
605825,28791,21.041435120866907,1,4076,0.7014088226798167,0.2985911773201832,WDC,Fixed JM
605825,31561,19.194759520942906,1,4076,0.7029670284323031,0.2970329715676969,WDC,Adaptive JM
